,topic,english,gujlish
0,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
1,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
3,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
4,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
5,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
6,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
7,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
8,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
9,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
10,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
11,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
12,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
13,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
14,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
15,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
16,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
17,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
18,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
19,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
20,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
21,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
22,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
23,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
24,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
25,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
26,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
27,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
