,topic,gujlish,english
0,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
3,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
4,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
5,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
6,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
7,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
8,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
9,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
10,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
11,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
12,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
13,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
14,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
15,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
16,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
17,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
18,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
19,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
20,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
21,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
22,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
23,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
24,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
25,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
