turn_id,topic,speaker,gujlish,english
1,Discussing weekend plans,Arjun,"Arre Priya, weekend ma shu plan che? Ghar ma besi besi ne to ekdam kantali gayo chhu!","Hey Priya, what's the plan for the weekend? I'm completely tired of sitting at home!"
2,Discussing weekend plans,Priya,"Hey Arjun! Sachu kahun to, I haven't thought much yet. Pan ha, kaik navu karvu che.","Hey Arjun! To be honest, I haven't thought much yet. But yes, I want to do something new."
3,Discussing weekend plans,Arjun,"Toh chalo ne, kaik exciting plan banaviye! Weather pan jara cool thayo che.","So let's go, let's make some exciting plan! The weather has also become a bit cool."
4,Discussing weekend plans,Priya,That's true. Maybe a short trip somewhere nearby? Ya to pachi koi new activity try karie.,That's true. Maybe a short trip somewhere nearby? Or else we can try some new activity.
5,Discussing weekend plans,Arjun,Short trip no idea mast che! Pan kya jaishu? Lonavala ke Mahabaleshwar?,The idea of a short trip is great! But where will we go? Lonavala or Mahabaleshwar?
6,Discussing weekend plans,Priya,"Hmm, Lonavala could be nice and close. We can go hiking and enjoy the greenery. What do you think?","Hmm, Lonavala could be nice and close. We can go hiking and enjoy the greenery. What do you think?"
7,Discussing weekend plans,Arjun,Hiking! Bau saras! Mane to trekking bau game che. Refresh thai jaishe ekdam.,Hiking! Very nice! I really like trekking. It will be very refreshing.
8,Discussing weekend plans,Priya,"Okay, so hiking it is. We should check the trail difficulty and any permits needed.","Okay, so hiking it is. We should check the trail difficulty and any permits needed."
9,Discussing weekend plans,Arjun,"Ha, e badhu online check kari laishu. Ane travel nu shu? Car lai jaisu ke train?","Yes, we'll check all that online. And what about travel? Shall we take the car or go by train?"
10,Discussing weekend plans,Priya,I think driving would be more flexible. Apne potani રીતે stops lai shakie.,I think driving would be more flexible. We can take stops as per our convenience.
11,Discussing weekend plans,Arjun,Perfect! Toh Saturday early morning nikli padie? So we get the whole day.,Perfect! So shall we leave early Saturday morning? So we get the whole day.
12,Discussing weekend plans,Priya,"Sounds like a plan. We should also pack some snacks and water bottles, basic first-aid.","Sounds like a plan. We should also pack some snacks and water bottles, basic first-aid."
13,Discussing weekend plans,Arjun,"Of course! Ane mara camera pan lai laish, photos click karva. Memories banse!",Of course! And I'll also take my camera to click photos. We'll make memories!
14,Discussing weekend plans,Priya,"Great idea. Pan jo hiking nathi karvu toh, we can also explore some new cafes in the city.","Great idea. But if we don't want to hike, we can also explore some new cafes in the city."
15,Discussing weekend plans,Arjun,"Cafe hopping pan ek option che, pan hiking ma je maja che e alag che yaar.","Cafe hopping is also an option, but the fun in hiking is different, friend."
16,Discussing weekend plans,Priya,"I agree, hiking is more adventurous. Bas weather forecast check kari levu jaroori che.","I agree, hiking is more adventurous. It's just important to check the weather forecast."
17,Discussing weekend plans,Arjun,Right. Jo વરસાદ na chances hoy toh pachi city ma j kaik karishu.,"Right. If there are chances of rain, then we'll do something in the city itself."
18,Discussing weekend plans,Priya,"Exactly. Maybe we could catch a new movie? Ekspy film avi che, reviews sara che.","Exactly. Maybe we could catch a new movie? A spy film has been released, the reviews are good."
19,Discussing weekend plans,Arjun,Movie pan chalshe. But first preference hiking ne. Bau time thi gayo nathi.,A movie will also work. But first preference to hiking. I haven't gone in a long time.
20,Discussing weekend plans,Priya,"Okay, so let's finalize Lonavala for now, subject to weather. I'll look up some good trails.","Okay, so let's finalize Lonavala for now, subject to weather. I'll look up some good trails."
21,Discussing weekend plans,Arjun,"Super! Tu trails find kar, hu car service karavi laish. Make sure everything is okay.","Super! You find the trails, I'll get the car serviced. Make sure everything is okay."
22,Discussing weekend plans,Priya,Good thinking. And should we invite anyone else? Rohit and Sneha free hase?,Good thinking. And should we invite anyone else? Will Rohit and Sneha be free?
23,Discussing weekend plans,Arjun,"Ha, puchhi jovay. Vadhare company hase toh vadhare maja avse. Hu Rohit ne call karish.","Yes, we can ask. More company means more fun. I'll call Rohit."
24,Discussing weekend plans,Priya,"Okay, ask them. But make sure they are also into hiking, so nobody feels left out.","Okay, ask them. But make sure they are also into hiking, so nobody feels left out."
25,Discussing weekend plans,Arjun,"Chinta na kar, Rohit to ready j hase. Sneha nu thodu puchhvu padshe.","Don't worry, Rohit will be ready. We'll have to ask Sneha a bit."
26,Discussing weekend plans,Priya,Cool. A weekend plan finally shape lai rahyo che. I'm excited!,Cool. This weekend plan is finally taking shape. I'm excited!
27,Discussing weekend plans,Arjun,Mane pan bau excitement che! Just hope ke badhu smoothly thai jai.,I'm very excited too! Just hope everything goes smoothly.
