id,topic,speaker_1_en,speaker_1_gujlish,speaker_2_en,speaker_2_gujlish
1771,Old vs New Songs / Street vs Restaurant Food,I prefer Kishore Kumar over Badshah.,Mane Kishore Kumar vadhu game.,Restaurants are more hygienic.,Restaurants ma hygiene vadhu hoy.
2012,Street vs Restaurant Food / Bollywood Movie,Let’s eat outside today!,Chal aaje bahar jamva jaiye!,I liked the climax a lot.,Mane climax bau gamyu.
522,Asking Directions / Cricket Match,Can you guide me to City Mall?,City Mall sudhi marg batavo?,Who won the match yesterday?,Gaya kale kon jeetyu match ma?
2580,Gym/Fitness / Diwali Prep,I feel healthier now.,Mane have healthy feel thay che.,Mom made chakri and sweets.,Mummy ye chakri ane mithai banavi.
1704,Old vs New Songs / Bollywood Movie,New songs have better beats.,Nava gaano ma beat saru hoy.,That movie had great songs.,E movie ma khub sara gaana hata.
1498,Diwali Prep / Trip to Goa,Mom made chakri and sweets.,Mummy ye chakri ane mithai banavi.,Let’s visit the beaches in North Goa.,North Goa na beach par jaiye.
948,Trip to Goa / Diwali Prep,Let’s visit the beaches in North Goa.,North Goa na beach par jaiye.,Have you bought crackers?,Tame patakha laya?
2558,Gym/Fitness / Ordering Food,I feel healthier now.,Mane have healthy feel thay che.,Do you serve cold coffee?,Tamare cold coffee male che?
2103,Friend's Wedding / Asking Directions,The food was really good!,Food toh khub j tasty hatu!,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.
2429,Weather Changes / Diwali Prep,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.,Diwali shopping is still pending.,Diwali shopping to baki j che.
2255,Weather Changes / Asking Directions,It’s so hot these days!,Aaje kalak ghanu garmi che!,Can you guide me to City Mall?,City Mall sudhi marg batavo?
1035,Bollywood Movie / Cricket Match,That movie had great songs.,E movie ma khub sara gaana hata.,India gave a strong performance!,India ye jabardast performance aapyu!
1356,Delhi Traffic / Diwali Prep,It’s better to use metro.,Metro vapravu kharekhar sari idea che.,Have you bought crackers?,Tame patakha laya?
2171,Friend's Wedding / Diwali Prep,They looked so happy together.,E loko khub j happy lagta hata.,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.
2079,Friend's Wedding / Street vs Restaurant Food,Did you see her wedding dress?,Tame eni wedding dress joi?,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.
