id,topic,english,gujlish,weather_change_0_313
discussing_weekend_plans_0_1,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?,
discussing_weekend_plans_0_2,Discussing weekend plans,Maybe I’ll watch a movie or hang out with friends. What about you?,Shaayad movie jovu hoy ke mitro saathe bahar javanu. Tare?,
discussing_weekend_plans_0_3,Discussing weekend plans,I’m thinking of visiting that new cafe downtown.,Hu navi cafe downtown jaava no vichar kari raho chhu.,
discussing_weekend_plans_0_4,Discussing weekend plans,Sounds good! Let’s plan something together.,Saru chhe! Chalo saathe koi plan kariye.,
discussing_weekend_plans_0_5,Discussing weekend plans,Are you free on Saturday evening?,Tare Saturday evening free chhe?,
discussing_weekend_plans_0_6,Discussing weekend plans,"Yes, Saturday works perfectly for me.","Haan, Saturday mara mate perfect chhe.",
discussing_weekend_plans_0_7,Discussing weekend plans,Great! Should we try that new pizza place?,Maja! Navo pizza place try kariye?,
discussing_weekend_plans_0_8,Discussing weekend plans,"Yes, I heard their cheese burst is amazing!","Haan, tema cheese burst bahu maja ni chhe!",
discussing_weekend_plans_0_9,Discussing weekend plans,What time should we meet on Saturday?,Saturday ketli vaar malishu?,
discussing_weekend_plans_0_10,Discussing weekend plans,How about 7 pm?,7 vage chale?,
discussing_weekend_plans_0_11,Discussing weekend plans,Perfect! I’ll see you there.,Perfect! Tame jova madi jaisu.,
discussing_weekend_plans_0_12,Discussing weekend plans,"By the way, have you seen the weather forecast for the weekend?","Are, weekend mate weather forecast jovu?",
discussing_weekend_plans_0_13,Discussing weekend plans,"Looks like it’s going to rain, so don’t forget your umbrella.","Lage chhe varsad thase, umbrella lai javu.",
discussing_weekend_plans_0_14,Discussing weekend plans,Thanks for the heads up! I’ll keep it ready.,Thanks! Hu ready rakhis.,
discussing_weekend_plans_0_15,Discussing weekend plans,Are you planning anything special for Sunday?,Sunday mate koi special plan chhe?,
discussing_weekend_plans_0_16,Discussing weekend plans,Maybe a family lunch. What about you?,Shaayad family saathe lunch. Tare?,
discussing_weekend_plans_0_17,Discussing weekend plans,I might just relax at home and catch up on some reading.,Hu ghar par relax kari ne thodi reading karis.,
discussing_weekend_plans_0_18,Discussing weekend plans,That sounds nice. Sometimes a quiet day is needed.,Saru chhe. Koi vakhat shanti no divas pan jaruri chhe.,
discussing_weekend_plans_0_19,Discussing weekend plans,"Absolutely! After a busy week, rest is important.",Bilkul! Vaydo pachi aaram jaruri chhe.,
discussing_weekend_plans_0_20,Discussing weekend plans,Let’s catch up after the weekend and share how it went!,Weekend pachi malishu ane plan kaisa hata batavisu!,
discussing_weekend_plans_0_21,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?,
discussing_weekend_plans_0_22,Discussing weekend plans,Maybe I’ll watch a movie or hang out with friends. What about you?,Shaayad movie jovu hoy ke mitro saathe bahar javanu. Tare?,
discussing_weekend_plans_0_23,Discussing weekend plans,I’m thinking of visiting that new cafe downtown.,Hu navi cafe downtown jaava no vichar kari raho chhu.,
discussing_weekend_plans_0_24,Discussing weekend plans,Sounds good! Let’s plan something together.,Saru chhe! Chalo saathe koi plan kariye.,
discussing_weekend_plans_0_25,Discussing weekend plans,Are you free on Saturday evening?,Tare Saturday evening free chhe?,
discussing_weekend_plans_0_26,Discussing weekend plans,"Yes, Saturday works perfectly for me.","Haan, Saturday mara mate perfect chhe.",
discussing_weekend_plans_0_27,Discussing weekend plans,Great! Should we try that new pizza place?,Maja! Navo pizza place try kariye?,
discussing_weekend_plans_0_28,Discussing weekend plans,"Yes, I heard their cheese burst is amazing!","Haan, tema cheese burst bahu maja ni chhe!",
discussing_weekend_plans_0_29,Discussing weekend plans,What time should we meet on Saturday?,Saturday ketli vaar malishu?,
discussing_weekend_plans_0_30,Discussing weekend plans,How about 7 pm?,7 vage chale?,
discussing_weekend_plans_0_31,Discussing weekend plans,Perfect! I’ll see you there.,Perfect! Tame jova madi jaisu.,
discussing_weekend_plans_0_32,Discussing weekend plans,"By the way, have you seen the weather forecast for the weekend?","Are, weekend mate weather forecast jovu?",
discussing_weekend_plans_0_33,Discussing weekend plans,"Looks like it’s going to rain, so don’t forget your umbrella.","Lage chhe varsad thase, umbrella lai javu.",
discussing_weekend_plans_0_34,Discussing weekend plans,Thanks for the heads up! I’ll keep it ready.,Thanks! Hu ready rakhis.,
discussing_weekend_plans_0_35,Discussing weekend plans,Are you planning anything special for Sunday?,Sunday mate koi special plan chhe?,
discussing_weekend_plans_0_36,Discussing weekend plans,Maybe a family lunch. What about you?,Shaayad family saathe lunch. Tare?,
discussing_weekend_plans_0_37,Discussing weekend plans,I might just relax at home and catch up on some reading.,Hu ghar par relax kari ne thodi reading karis.,
discussing_weekend_plans_0_38,Discussing weekend plans,That sounds nice. Sometimes a quiet day is needed.,Saru chhe. Koi vakhat shanti no divas pan jaruri chhe.,
discussing_weekend_plans_0_39,Discussing weekend plans,"Absolutely! After a busy week, rest is important.",Bilkul! Vaydo pachi aaram jaruri chhe.,
discussing_weekend_plans_0_40,Discussing weekend plans,Let’s catch up after the weekend and share how it went!,Weekend pachi malishu ane plan kaisa hata batavisu!,
discussing_weekend_plans_0_41,Discussing weekend plans,Do you want to join me for a hike this weekend?,Tare weekend par hike mate saathe javanu chhe?,
discussing_weekend_plans_0_42,Discussing weekend plans,Sounds fun! Which place are you thinking about?,Maja avse! Koi jagya ni vaat chhe?,
discussing_weekend_plans_0_43,Discussing weekend plans,I was thinking about the hills near Saputara.,Saputara najik na pahaad ni vaat kari raho chhu.,
discussing_weekend_plans_0_44,Discussing weekend plans,Nice choice! Let me check my schedule and get back to you.,Saru chhe! Hu time joi ne tari ne batavisu.,
discussing_weekend_plans_0_45,Discussing weekend plans,"No problem, just let me know soon.","Koi problem nathi, jald bata.",
discussing_weekend_plans_0_46,Discussing weekend plans,"Will do! Also, do you want to invite anyone else?",Karis! Bijanu koi invite karvu chhe?,
discussing_weekend_plans_0_47,Discussing weekend plans,"Maybe, I will ask Neha and Rahul.",Shaayad Neha ane Rahul ne puchis.,
discussing_weekend_plans_0_48,Discussing weekend plans,Perfect! The more the merrier.,Majama! Vadhare loko hoy to maja avse.,
discussing_weekend_plans_0_49,Discussing weekend plans,True that! Should we carpool?,Sachi vaat! Carpool kariye?,
discussing_weekend_plans_0_50,Discussing weekend plans,"Yes, that would be convenient and eco-friendly.","Haan, easy ane environment mate pan sari rite chhe.",
discussing_weekend_plans_0_51,Discussing weekend plans,Awesome! I’ll drive then.,Maja! Hu drive karis.,
discussing_weekend_plans_0_52,Discussing weekend plans,"Thanks, that helps a lot.","Thanks, khub madad thase.",
discussing_weekend_plans_0_53,Discussing weekend plans,Do you prefer morning or afternoon for the hike?,Hike mate morning ke afternoon su vadhare saru lage?,
discussing_weekend_plans_0_54,Discussing weekend plans,"Morning is better, less heat and more energy.","Morning saru chhe, garmi ochhi ane energy vadhu.",
discussing_weekend_plans_0_55,Discussing weekend plans,"Cool, then let’s meet at 7 am on Saturday.","Chalo, Saturday 7 vage maliye.",
discussing_weekend_plans_0_56,Discussing weekend plans,Sounds like a plan! I’ll set my alarm early.,Plan banavyo! Alarm set kari dau chhu.,
discussing_weekend_plans_0_57,Discussing weekend plans,Don’t forget to bring water and some snacks.,Paani ane snacks lai javu nahi bhulvu.,
discussing_weekend_plans_0_58,Discussing weekend plans,Of course! I’m packing my bag tonight.,Pakka! Aaje ratre bag pack karis.,
discussing_weekend_plans_0_59,Discussing weekend plans,Do you want to listen to some music while traveling?,Travel karta music pan chalaviye?,
discussing_weekend_plans_0_60,Discussing weekend plans,Want to try something new this weekend?,Aa weekend kai navi vastu try kariye?,
discussing_weekend_plans_0_61,Discussing weekend plans,Thinking of a long drive on Saturday?,Saturday e long drive par jayiye?,
discussing_weekend_plans_0_62,Discussing weekend plans,Let’s join a painting workshop!,Ek painting workshop ma join kariye?,
discussing_weekend_plans_0_63,Discussing weekend plans,We could go for a night walk.,Raatre night walk par jayiye?,
discussing_weekend_plans_0_64,Discussing weekend plans,Interested in volunteering at the shelter?,Animal shelter ma volunteer karvu che?,
discussing_weekend_plans_0_65,Discussing weekend plans,Let’s plan a rooftop dinner.,Chalo rooftop dinner plan kariye.,
discussing_weekend_plans_0_66,Discussing weekend plans,How about attending a poetry slam?,Poetry slam joye tamne?,
discussing_weekend_plans_0_67,Discussing weekend plans,We should visit a flea market!,Flea market jayiye ne!,
discussing_weekend_plans_0_68,Discussing weekend plans,Game night at my place?,Game night rakhie maara ghar e?,
discussing_weekend_plans_0_69,Discussing weekend plans,We could go stargazing near the lake.,Lake pase stargazing karvu che?,
discussing_weekend_plans_0_70,Discussing weekend plans,You up for a quick trek nearby?,Ek chhoti trek joye tamne?,
discussing_weekend_plans_0_71,Discussing weekend plans,Feel like exploring a bookstore together?,Bookstore explore karva jayiye?,
discussing_weekend_plans_0_72,Discussing weekend plans,Let’s do a chai date Sunday evening.,Sunday e ek chai date karie?,
discussing_weekend_plans_0_73,Discussing weekend plans,"Movie marathon sounds fun, right?",Movie marathon joye che ne?,
discussing_weekend_plans_0_74,Discussing weekend plans,Want to build a playlist together?,Ek sath playlist banaviye?,
discussing_weekend_plans_0_75,Discussing weekend plans,What if we do couple yoga this time?,Aa vakhat couple yoga kariye?,
discussing_weekend_plans_0_76,Discussing weekend plans,Let’s cook something new together.,Ek sath kai navi recipe banaviye?,
discussing_weekend_plans_0_77,Discussing weekend plans,"I found a new taco place, shall we go?","Navi taco place mali che, jayiye?",
discussing_weekend_plans_0_78,Discussing weekend plans,Heard there's a food fest—interested?,"Food fest chalu che, chalo jayiye!",
discussing_weekend_plans_0_79,Discussing weekend plans,Let’s plan something spontaneous!,Spontaneous plan joye tamne?,
discussing_weekend_plans_0_80,Discussing weekend plans,How about going bowling this weekend?,Aa weekend bowling karva jayiye?,
discussing_weekend_plans_0_81,Discussing weekend plans,Let’s explore the new art gallery.,Navi art gallery explore kariye?,
discussing_weekend_plans_0_82,Discussing weekend plans,In the mood for some beach time?,Thodu samudra kinare jaiye?,
discussing_weekend_plans_0_83,Discussing weekend plans,Let’s do something crazy and fun!,Kai crazy ane maja nu kariye?,
discussing_weekend_plans_0_84,Discussing weekend plans,Want to try indoor climbing?,Indoor climbing try karvu che?,
discussing_weekend_plans_0_85,Discussing weekend plans,What about visiting that lake we saw online?,"Je lake online joyi hati, tya jayiye?",
discussing_weekend_plans_0_86,Discussing weekend plans,Movie and dinner combo this Sunday?,Sunday e movie ane dinner combo joye?,
discussing_weekend_plans_0_87,Discussing weekend plans,How about doing nothing and just relaxing?,"Kai nai kariye, bas relax kariye?",
discussing_weekend_plans_0_88,Discussing weekend plans,Up for a heritage walk this Saturday?,Aa Saturday heritage walk par jayiye?,
discussing_weekend_plans_0_89,Discussing weekend plans,Want to try pottery making?,Pottery banavva try kariye?,
discussing_weekend_plans_0_90,Discussing weekend plans,We could go to a live music event.,Live music event joye che?,
discussing_weekend_plans_0_91,Discussing weekend plans,Let’s check out that new garden.,Navo garden check karva jayiye?,
discussing_weekend_plans_0_92,Discussing weekend plans,Want to rent bicycles and ride around?,Bicycle rent kari ne farvu che?,
discussing_weekend_plans_0_93,Discussing weekend plans,"This weekend, let’s do something adventurous.",Aa weekend kai adventurous kariye?,
discussing_weekend_plans_0_94,Discussing weekend plans,Should we visit that local cafe again?,Pachhi thi local cafe ma jayiye?,
discussing_weekend_plans_0_95,Discussing weekend plans,Feel like playing board games?,Board games ramva man che?,
discussing_weekend_plans_0_96,Discussing weekend plans,We could bake cookies together.,Ek sath cookies bake kariye?,
discussing_weekend_plans_0_97,Discussing weekend plans,Want to try sketching in the park?,Park ma sketching try karvu che?,
discussing_weekend_plans_0_98,Discussing weekend plans,Let’s attend a stand-up comedy show.,Stand-up comedy show joye?,
discussing_weekend_plans_0_99,Discussing weekend plans,In the mood for homemade pizza night?,Homemade pizza night joye che?,
discussing_weekend_plans_0_100,Discussing weekend plans,Should we explore the old city?,Old city explore karvu che?,
discussing_weekend_plans_0_101,Discussing weekend plans,Let’s go for a morning jog together.,Ek sath morning jog par jayiye?,
discussing_weekend_plans_0_102,Discussing weekend plans,Want to try a meditation session?,Meditation session try karvu che?,
discussing_weekend_plans_0_103,Discussing weekend plans,Heard about that new escape room?,Navi escape room vishe sambhalyu che?,
